,attr_conc.mean,attr_conc.sd,attr_ent.mean,attr_ent.sd,attr_to_inst,cat_to_num,cor.mean,cor.sd,cov.mean,cov.sd,eigenvalues.mean,eigenvalues.sd,g_mean.mean,g_mean.sd,h_mean.mean,h_mean.sd,inst_to_attr,iq_range.mean,iq_range.sd,kurtosis.mean,kurtosis.sd,mad.mean,mad.sd,max.mean,max.sd,mean.mean,mean.sd,median.mean,median.sd,min.mean,min.sd,nr_attr,nr_bin,nr_cat,nr_cor_attr,nr_inst,nr_norm,nr_num,nr_outliers,num_to_cat,range.mean,range.sd,sd.mean,sd.sd,skewness.mean,skewness.sd,sparsity.mean,sparsity.sd,t_mean.mean,t_mean.sd,var.mean,var.sd,n_pcs,rv,lid_mean,lid_median,lid_std,lid_kurtosis,lid_skew,lid_entropy,lid_hist0,lid_hist1,lid_hist2,lid_hist3,lid_hist4,lid_hist5,lid_hist6,lid_hist7,lid_hist8,lid_hist9,rc_mean,rc_median,rc_std,rc_kurtosis,rc_skew,rc_entropy,rc_hist0,rc_hist1,rc_hist2,rc_hist3,rc_hist4,rc_hist5,rc_hist6,rc_hist7,rc_hist8,rc_hist9,elapsed_time(secs)
nasa_40150,(0.004094987797040687+0j),(0.002784554641152976+0j),(5.08746277232579+0j),(2.5173711974836602e-08+0j),(0.00049813200498132+0j),0j,(0.0011836943727671022+0j),(0.001024021610542664+0j),(5.627690311461327e-05+0j),(0.0001047758668925665+0j),(0.05987022113910991+0j),(0.07971529854196534+0j),,,,,(2007.5+0j),(0.20626523374999994+0j),(0.18908975905588812+0j),(4.38325742055819+0j),(4.365202255751947+0j),(0.15175808939833502+0j),(0.1397533897650144+0j),(1.0385403500000001+0j),(0.3876525951319754+0j),(0.00015954032406511546+0j),(0.000641444616758734+0j),(-0.009932321875+0j),(0.024457614612710614+0j),(-0.82936985+0j),(0.2564608878575065+0j),(20+0j),0j,0j,0j,(40150+0j),0j,(20+0j),(19+0j),,(1.8679102+0j),(0.48047923271575+0j),(0.20678508930917833+0j),(0.13420388251700047+0j),(0.41616099256867856+0j),(0.9526506926983221+0j),(2.7187023741983794e-07+0j),(7.332383615570132e-08+0j),(-0.007882850273299527+0j),(0.02102424510955405+0j),(0.05987022113910987+0j),(0.07971353132166194+0j),18.0,0.3136768036986935,7.098098996350617,6.79386846775907,2.6972151001969773,0.44403524807469097,0.5749891437162037,9.13801597386416,0.0309,0.1263,0.2664,0.2526,0.1786,0.0874,0.0387,0.0139,0.0037,0.0015,0.8613126383753373,0.8727795065836871,0.056745071330856274,9.281711647807104,-2.3425362551501414,9.20803384469177,0.0028,0.002,0.0031,0.0048,0.0108,0.0208,0.065,0.2233,0.4504,0.217,4.86472749710083
mnist_400d_70000,(0.004811620249977858+0j),(0.014346871667671823+0j),(1.4872150515428466+0j),(1.6693786699896964+0j),(0.005714285714285714+0j),0j,,,(232.6863007612074+0j),(628.2161029649974+0j),(3629.283305066712+0j),(14026.119697692564+0j),0j,0j,0j,0j,(175+0j),(56.57375+0j),(86.11793145875217+0j),(3738.552993908707+0j),(11712.665486681184+0j),(22.439150999999995+0j),(47.190591750211574+0j),(213.125+0j),(80.1932463921825+0j),(32.98776075+0j),(41.843422285294615+0j),(16.45+0j),(35.90474029901692+0j),0j,0j,(400+0j),(5+0j),0j,(0.010413533834586467+0j),(70000+0j),(35+0j),(400+0j),(279+0j),,(213.125+0j),(80.1932463921825+0j),(44.84024982548755+0j),(40.282651734107546+0j),(26.801989851344214+0j),(52.50818161118749+0j),(0.05971299827386785+0j),(0.19353362926198686+0j),(22.543400476190477+0j),(38.39185080634416+0j),(3629.283305066705+0j),(4149.054996301056+0j),153.0,0.19812643019359646,12.764211497258554,12.078821004254632,4.423248075002761,5.276957580932481,1.5458274985340803,9.155258230959813,0.1488,0.4981,0.2545,0.0666,0.0206,0.0075,0.0022,0.001,0.0003,0.0004,0.9198434815836488,0.9230981729032306,0.02482822649166172,1.5935347960421176,-0.9860763563582684,9.209972649964818,0.0017,0.0068,0.018000000000000002,0.0336,0.0566,0.1568,0.3139,0.2903,0.1071,0.0152,46.4717960357666
Normalized_CM55_269648,(0.023263162980399977+0j),(0.02253086390872412+0j),(5.90383633620211+0j),(0.0713814112406324+0j),(0.0008344211713048123+0j),0j,(0.16428997279246052+0j),(0.16047281808208516+0j),(0.018254441512037187+0j),(0.017830313253158748+0j),(0.11111111137886588+0j),(0.3827593502357915+0j),,,,,(1198.4355555555555+0j),(0.37210008666666666+0j),(0.07489728114318976+0j),(2.4202031990152166+0j),(2.019672811228559+0j),(0.2577613700106667+0j),(0.05376517108676734+0j),(1.761107742222222+0j),(0.6956651205592972+0j),(4.3302544224100605e-10+0j),(1.5622051715995933e-08+0j),(-0.02196442888888889+0j),(0.06778348388157977+0j),(-1.2576740755555555+0j),(0.7281293247827224+0j),(225+0j),0j,0j,(0.05384920634920635+0j),(269648+0j),0j,(225+0j),(225+0j),,(3.0187818177777777+0j),(1.00243298109051+0j),(0.33333333373496504+0j),(9.765372152299389e-09+0j),(0.32857563502880566+0j),(1.0790005905469584+0j),(1.7951052644621967e-06+0j),(7.538102222852903e-07+0j),(-0.016106105659654833+0j),(0.048687126401399966+0j),(0.11111111137886569+0j),(6.510248155921802e-09+0j),95.0,0.35159242972773896,32.55842749035258,31.944168477124514,10.848629696752337,0.15780865164043026,0.3794510283675616,9.154060040775557,0.0137,0.0851,0.196,0.2631,0.223,0.1401,0.0547,0.0165,0.0062,0.0016,0.9661918646565688,0.9695694442713304,0.014091589288971718,11.479599576163993,-2.481067961264906,9.210232674891882,0.0001,0.0002,0.0007,0.001,0.0031,0.0056,0.02,0.0859,0.3785,0.5049,124.76806306838988
Normalized_CH_266748,(0.025394599522894905+0j),(0.02144553610791518+0j),(5.99998189436846+0j),(1.3850045873583894e-05+0j),(0.00023992682231919264+0j),0j,(0.1452132619274104+0j),(0.11573290188692502+0j),(0.01623473163097894+0j),(0.012950847053806728+0j),(0.11183340638065421+0j),(0.16613059694339327+0j),,,,,(4167.9375+0j),(0.16909016796874998+0j),(0.06753347914485702+0j),(456.6034651092014+0j),(707.2756002936928+0j),(0.106839931996875+0j),(0.04526396144992398+0j),(14.923468265625+0j),(11.193169432267368+0j),(0.0015101316729061699+0j),(0.0017219975935336424+0j),(-0.07806442968749999+0j),(0.026333224263316496+0j),(-0.232162546875+0j),(0.08444583207828905+0j),(64+0j),0j,0j,(0.015376984126984126+0j),(266748+0j),0j,(64+0j),(64+0j),,(15.155630812499998+0j),(11.235883228895236+0j),(0.33440782573656685+0j),(0.002211075565843595+0j),(12.268243195323718+0j),(8.727779159837908+0j),(3.6341339483339684e-05+0j),(2.4220830897047186e-05+0j),(-0.06714324120684942+0j),(0.02073191053865049+0j),(0.11183340638065409+0j),(0.0014418708409810674+0j),45.0,0.7021725469351341,10.584485338419237,10.255187235581067,5.40330785413289,246.31921350344726,8.140583665454665,9.101605760946402,0.9849,0.0139,0.0006,0.0001,0.0004,0.0,0.0,0.0,0.0,0.0001,0.8883208875938975,0.9104683349898116,0.08504518896909545,11.946501230703205,-3.41412539750265,9.205117203322825,0.0117,0.0274,0.0033,0.0019,0.002,0.0057,0.0346,0.1853,0.632,0.0961,62.66022324562073
mnist_289d_70000,(0.006404013415871423+0j),(0.04040574547942768+0j),(1.5584380327935201+0j),(1.7334290893800857+0j),(0.0041285714285714285+0j),0j,,,(229.01078696902002+0j),(604.9342988454393+0j),(3563.3783308464594+0j),(11722.14485167704+0j),0j,0j,0j,0j,(242.21453287197232+0j),(56.734429065743946+0j),(85.53633243497394+0j),(3845.5129219073574+0j),(12701.030482770233+0j),(22.841787197231834+0j),(47.11772277804415+0j),(213.57439446366783+0j),(78.68940902103643+0j),(33.00613870489372+0j),(41.79900272753526+0j),(16.752595155709344+0j),(35.96683274181775+0j),0j,0j,(289+0j),(7+0j),0j,(0.009395424836601307+0j),(70000+0j),(28+0j),(289+0j),(198+0j),,(213.57439446366783+0j),(78.68940902103643+0j),(44.4845772495296+0j),(39.874834875902366+0j),(26.93311042114093+0j),(54.193308628274714+0j),(0.06097148738246751+0j),(0.19616468487660663+0j),(22.70212695666502+0j),(38.46939812494526+0j),(3563.3783308464535+0j),(4061.5382778869775+0j),136.0,0.20077319906179536,12.593551995104628,11.829963611977035,4.442443053476451,4.599911650294887,1.5499310143117455,9.153588038101134,0.0939,0.422,0.325,0.0987,0.0375,0.013,0.0061,0.0025,0.0008,0.0005,0.9187018482755338,0.921653369775155,0.02517825698102424,1.6251279930654263,-0.9461555026616992,9.209961345274033,0.0003,0.0021,0.0092,0.0236,0.0415,0.1011,0.2799,0.3514,0.162,0.0289,33.80037236213684
Normalized_EDH_269529,(0.007594544951671339+0j),(0.006369947187178125+0j),(5.999997886599098+0j),(2.3263195579191305e-06+0j),(0.00027084284065907564+0j),0j,(0.24108866678700033+0j),(0.17057873369003773+0j),(0.026762562080696165+0j),(0.018935723459022592+0j),(0.11100336732811385+0j),(0.2800895842051423+0j),,,,,(3692.178082191781+0j),(0.33655016438356167+0j),(0.02409407238364155+0j),(132.67970312145368+0j),(165.6371365799411+0j),(0.24457619506849312+0j),(0.02458080710659348+0j),(16.993995232876713+0j),(6.933380328428828+0j),(0.00025264214824876897+0j),(6.986578232879892e-05+0j),(-0.03974395890410959+0j),(0.025782758397187296+0j),(-0.6401401506849315+0j),(0.45461303186011554+0j),(73+0j),0j,0j,(0.07876712328767123+0j),(269529+0j),0j,(73+0j),(73+0j),,(17.63413538356164+0j),(6.857674342811634+0j),(0.3331716733733771+0j),(5.862402789665551e-05+0j),(4.7097948656946045+0j),(2.066919937983752+0j),(3.557927711176241e-06+0j),(7.28428082475194e-07+0j),(-0.03448502098549598+0j),(0.019254324204664882+0j),(0.1110033673281138+0j),(3.9069076353419004e-05+0j),33.0,0.5814721912751569,24.944537225867872,24.43466301737576,8.008159085353103,2.893751151928793,0.7918949051356433,9.159477595674716,0.0807,0.3854,0.4031,0.1084,0.0177,0.0031,0.001,0.0003,0.0002,0.0001,0.9569983687843001,0.9605350178565236,0.015990347098357175,6.504826425619685,-2.0213453293859227,9.210199142773359,0.0002,0.0008,0.0025,0.0054,0.0123,0.0254,0.0802,0.2845,0.5289,0.0598,64.06658792495729
mnist_121d_70000,(0.011205190682596247+0j),(0.04645835647645244+0j),(2.215394865846584+0j),(2.0113445629329973+0j),(0.0017285714285714285+0j),0j,(0.07334639833075081+0j),(0.10592724254095626+0j),(192.42887862358566+0j),(449.12670605057014+0j),(2434.270941801981+0j),(6032.091015520433+0j),0j,0j,0j,0j,(578.5123966942149+0j),(48+0j),(65.0977470168259+0j),(2436.0939446960697+0j),(9088.514150675754+0j),(26.392730578512392+0j),(43.65059925232573+0j),(199.9917355371901+0j),(75.09699237960739+0j),(32.854928099173556+0j),(40.55679967696896+0j),(22.59504132231405+0j),(39.90646950733609+0j),0j,0j,(121+0j),(2+0j),0j,(0.011570247933884297+0j),(70000+0j),(6+0j),(121+0j),(88+0j),,(199.9917355371901+0j),(75.09699237960739+0j),(37.160942963453046+0j),(32.59007600023675+0j),(20.41041558948547+0j),(42.80482356138454+0j),(0.02330603129961329+0j),(0.07265370467243346+0j),(25.2963093270366+0j),(39.52369957181822+0j),(2434.2709418019767+0j),(2738.886578788468+0j),67.0,0.22707925467167825,10.66920511794966,10.187806562793686,3.481736850625815,4.436841453291919,1.4209710728816127,9.160964082418744,0.1134,0.4431,0.3171,0.0864,0.0257,0.0086,0.0035,0.0015,0.0005,0.0002,0.906400460168002,0.9099495427032852,0.027126059196981654,1.4077477663084108,-0.9170006078068438,9.209888148075077,0.0008,0.0045,0.0159,0.0311,0.0579,0.1523,0.3142,0.3049,0.1035,0.0149,17.03982949256897
mnist_625d_70000,(0.012482296450916332+0j),(0.06474425491463122+0j),(1.5425945539834613+0j),(1.6846075678116457+0j),(0.008928571428571428+0j),0j,,,(239.43873581960221+0j),(657.1979512556187+0j),(3666.768333230109+0j),(17988.12051812665+0j),0j,0j,0j,0j,(112+0j),(58.0648+0j),(87.16793216772689+0j),(4155.075533521121+0j),(12094.916984401816+0j),(21.84047712+0j),(46.63654707127369+0j),(214.2912+0j),(81.9074387843078+0j),(33.31459986285714+0j),(42.00880906317218+0j),(16.0352+0j),(35.50552335146658+0j),0j,0j,(625+0j),(9+0j),0j,(0.01138974358974359+0j),(70000+0j),(41+0j),(625+0j),(430+0j),,(214.2912+0j),(81.9074387843078+0j),(44.891416734779035+0j),(40.67155907908103+0j),(28.817368759384415+0j),(54.57606050814234+0j),(0.05588562314623172+0j),(0.18515854956571176+0j),(22.713781104761903+0j),(38.46774713986637+0j),(3666.768333230101+0j),(4218.86590304984+0j),151.0,0.20013055214820355,12.854263654570564,12.047613087645885,4.619256933179199,13.029711998162455,2.238966282951961,9.153519887811443,0.5185,0.4181,0.0506,0.0094,0.0022,0.0007,0.0004,0.0,0.0,0.0001,0.9204171834449598,0.9229328276562586,0.0240154583955746,1.7342580267334498,-0.9152091849610736,9.209997077963322,0.0038,0.0085,0.018000000000000002,0.0363,0.0843,0.2345,0.3472,0.2045,0.0573,0.0056,63.39391970634461
Normalized_CORR_269648,(0.02096640727793398+0j),(0.026753427086101036+0j),(3.774734681801143+0j),(1.8123804704232835+0j),(0.0005340295496350798+0j),0j,(0.11538238108707993+0j),(0.1672200903430257+0j),(0.012820264660033744+0j),(0.018580010062679796+0j),(0.11111111172744817+0j),(0.27087655863227944+0j),,,,,(1872.5555555555557+0j),(0.25767675868055556+0j),(0.20027385412879914+0j),(20.298751895873718+0j),(42.36437274834773+0j),(0.12526936813125+0j),(0.14248252656562235+0j),(2.1947369513888884+0j),(1.633223173657415+0j),(-9.001498661808629e-09+0j),(1.5299070269836588e-07+0j),(-0.1108407951388889+0j),(0.056232666218892384+0j),(-0.2351612013888889+0j),(0.16475688156561138+0j),(144+0j),0j,0j,(0.03447940947940948+0j),(269648+0j),0j,(144+0j),(125+0j),,(2.4298981527777777+0j),(1.5329063796676954+0j),(0.3333333342578335+0j),(5.8985042694998344e-08+0j),(3.055255573356083+0j),(3.008097953749348+0j),(2.3800325381668423e-05+0j),(3.9141676974349784e-05+0j),(-0.08732800903056775+0j),(0.04034997294135928+0j),(0.11111111172744799+0j),(3.932336274608371e-08+0j),28.0,0.38865789631549935,15.396936584960521,15.201693825500096,5.245166681053521,0.5679096171414062,0.4172505556424706,9.151624319697321,0.0739,0.2883,0.3841,0.2009,0.0456,0.0063,0.0004,0.0004,0.0,0.0001,0.9310871274632148,0.9380234504012828,0.026644182841947167,4.888431705827824,-1.7128483678018898,9.209923757266674,0.0004,0.0002,0.0006,0.0017,0.0072,0.023,0.0822,0.2002,0.5442,0.1403,269.47228169441223
texture_16000,(0.08205778492320957+0j),(0.07334086434797664+0j),(4.643856128136117+0j),(8.864024367978972e-08+0j),(0.001+0j),0j,(0.7062680690374933+0j),(0.21176097990185253+0j),(0.9265786386288063+0j),(0.6969844727514335+0j),(1.5856432625924244+0j),(4.83807595981492+0j),,,,,(1000+0j),(1.346480203125+0j),(0.6756057989990985+0j),(8.669826076694159+0j),(9.137603014272496+0j),(0.9576276485999998+0j),(0.49191702049865715+0j),(11.431109062500001+0j),(11.682485698816615+0j),(0.1286700620234375+0j),(0.6996687619099212+0j),(-0.052288249999999994+0j),(0.5595295642087498+0j),(-2.6030043125+0j),(1.686035422399649+0j),(16+0j),0j,0j,(0.8666666666666667+0j),(16000+0j),0j,(16+0j),(16+0j),,(14.034113375+0j),(11.016587489392741+0j),(1.1626538698638769+0j),(0.4994709109799833+0j),(1.6309181633127332+0j),(1.593213320747945+0j),(1.518181485389506e-06+0j),(2.204231556317358e-06+0j),(-0.017087449941406263+0j),(0.5909226249870949+0j),(1.5856432625924248+0j),(1.4008516620933547+0j),2.0,0.753363782426753,5.054113532072776,4.978601784000421,1.066261918237289,17.508217587304227,1.9255986850792155,9.189432823735087,0.1761,0.7442,0.0717,0.0058,0.0011,0.0008,0.0002,0.0,0.0,0.0001,0.8272682536824728,0.8301383846562567,0.029695094917826924,2.288556160010665,-0.7928663008997979,9.2096892514242,0.003,0.0087,0.0192,0.0607,0.2343,0.4325,0.2105,0.0264,0.0037,0.001,2.377310276031494
